,S_No,Sentence,Negative_Sentiment_Score,Positive_Sentiment_Score,Neutral_Sentiment_Score,COMPOUND_SCORE
29903,29904,ps i LOVE toyota and yeh you need a HIS AND HERS....,0.0,0.354,0.646,0.7125
29904,29905,& i adore my little honda < 3.,0.0,0.474,0.526,0.5574
29905,29906,i love our trips out to london pissed out of our faces on shitty booze...,0.339,0.183,0.478,-0.5574
29906,29907,I love that Geico commercial.....,0.0,0.583,0.417,0.6369
29907,29908,I needed San Francisco but not until a month ago.,0.0,0.0,1.0,0.0
29908,29909,I still love AAA and would still devote a lot of my time to it.,0.0,0.375,0.625,0.765
29909,29910,"Stupid UCLA, deserves a good poking..",0.366,0.312,0.323,-0.128
29910,29911,I'd love a Toyota van..,0.0,0.583,0.417,0.6369
29911,29912,i love our trips out to london pissed out of our faces on shitty booze...,0.339,0.183,0.478,-0.5574
29912,29913,I miss Purdue right now..,0.348,0.0,0.652,-0.1531
29913,29914,"Well, my job at GEICO has been great so far.",0.0,0.437,0.563,0.7351
29914,29915,My Purdue Cal friends are awesome!..,0.0,0.404,0.596,0.5255
29915,29916,we need at least ONE beautiful girl at ucla.,0.0,0.328,0.672,0.5994
29916,29917,"As the lightening strook and the thunder rolled in the late evening, I drove me and my two buddies, James and Kelly, in my beautiful toyota landcruiser off into the mountains of summerland.",0.0,0.112,0.888,0.5994
29917,29918,"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school.",0.271,0.0,0.729,-0.7717
29918,29919,we have a boring as shit blue 2005 toyota carolla.,0.457,0.0,0.543,-0.7096
29919,29920,then again i hate tom cruise..,0.481,0.0,0.519,-0.5719
29920,29921,The Lakers can suck me...,0.42,0.0,0.58,-0.4404
29921,29922,Stupid CITI bank commercial..,0.531,0.0,0.469,-0.5267
29922,29923,have an awesome time at purdue!..,0.0,0.468,0.532,0.6588
29923,29924,"Paris Hilton â€“ Sexy, relevant to a different kind of Bar...",0.0,0.274,0.726,0.5267
29924,29925,i bet i am the first person ever to comment on your site from london-stinking-england!,0.0,0.0,1.0,0.0
29925,29926,I'd like to talk today about how much I hate Paris Hilton.....,0.243,0.164,0.592,-0.296
29926,29927,i do i love angelina jolie!..,0.0,0.6,0.4,0.6696
29927,29928,"besides, UCLA was a stupid dream...",0.459,0.0,0.541,-0.5267
29928,29929,I love Paris Hilton..,0.0,0.677,0.323,0.6369
29929,29930,I hate UCLA!!!,0.821,0.0,0.179,-0.6784
29930,29931,I love MIT so much...,0.0,0.583,0.417,0.6369
29931,29932,"So after spending a little over a week back in UCLA, I can definately say that so far, life is hella more exciting than last year and if this continues my summer hopes will be fulfilled.",0.0,0.238,0.762,0.8545
29932,29933,Cs: I've heard San Francisco is beautiful..,0.0,0.0,1.0,0.0
29933,29934,ps i LOVE toyota and yeh you need a HIS AND HERS....,0.0,0.354,0.646,0.7125
29934,29935,"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",0.0,0.296,0.704,0.743
29935,29936,I still prefer the tenacious Hillary Clinton.,0.0,0.0,1.0,0.0
29936,29937,i love ucla!..,0.0,0.818,0.182,0.6696
29937,29938,I love Angelina Jolie.,0.0,0.677,0.323,0.6369
29938,29939,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited.",0.0,0.481,0.519,0.9493
29939,29940,I needed San Francisco but not until a month ago.,0.0,0.0,1.0,0.0
29940,29941,stupid kids and their need for Honda emblems):,0.327,0.0,0.673,-0.5267
29941,29942,I'd like to thank American Airlines for their $ 191 tickets(,0.0,0.385,0.615,0.6124
29942,29943,I hate Paris Hilton.,0.649,0.0,0.351,-0.5719
29943,29944,I'm beginning to really distrust Toyota dealerships.,0.34,0.0,0.66,-0.4754
29944,29945,I love Boston too!,0.0,0.692,0.308,0.6696
29945,29946,"San Francisco was brilliant, Sausalito...",0.0,0.487,0.513,0.5859
29946,29947,I think at this moment i love San Francisco better than L. A..,0.0,0.441,0.559,0.7964
29947,29948,= D i love Tom Cruise!!!,0.0,0.717,0.283,0.7249
29948,29949,"When Emmy was in town, I told her ( in a moment of pure physical pain as we hiked up to the Lombard / Leavenworth intersection ) that San Francisco is always halfway between fantastic and miserable.",0.166,0.092,0.742,-0.4404
29949,29950,PARIS HILTON ROCKS!!.,0.0,0.0,1.0,0.0
29950,29951,The Lakers can suck me...,0.42,0.0,0.58,-0.4404
29951,29952,UCLA SUCKS ANYWAYS...,0.556,0.0,0.444,-0.3612
29952,29953,Pirates 2 is playing at Fowler Hall tonight cuz Purdue kicks ass and shows us movies a few weeks before they come out on DVD...,0.133,0.068,0.798,-0.4019
29953,29954,THIS SONG SUCKSSSSSSS i hate paris hilton.....,0.425,0.0,0.575,-0.5719
29954,29955,HARVARD RAP SUCKS BIG TIME COCK..,0.333,0.0,0.667,-0.3612
29955,29956,The Lakers can suck me...,0.42,0.0,0.58,-0.4404
29956,29957,It was really ironic that he spent the first part of class talking about his own professor at Harvard who was a pompous arrogant ass.,0.288,0.0,0.712,-0.8173
29957,29958,Three days at Purdue with three awesome people.,0.0,0.369,0.631,0.6249
29958,29959,"If God exists, why are morons like Paris Hilton considered beautiful?.(",0.154,0.309,0.537,0.3182
29959,29960,But working at Mastercard definitely sounds amazing.,0.0,0.565,0.435,0.7579
29960,29961,"Well apparently all people driving toyota 4runners are appalingly ugly, or so one would think based on him not even glancing in my direction!",0.13,0.076,0.794,-0.3595
29961,29962,I miss London...,0.615,0.0,0.385,-0.1531
29962,29963,LOVE STORY IN HARVARD 23.5 % vs Pinoy Dream Academy 14.6 % ( at nanatiling bangungot! ).,0.0,0.376,0.624,0.8034
29963,29964,LOVE STORY IN HARVARD 23.5 % vs Pinoy Dream Academy 14.6 % ( at nanatiling bangungot! ).,0.0,0.376,0.624,0.8034
29964,29965,Stupid UCLA....,0.773,0.0,0.227,-0.5267
29965,29966,I've prayed and been praying that God bless the UCLA Taekwondo program and let me do His work through it.,0.0,0.303,0.697,0.7506
29966,29967,I like purdue but right now I am not likin it...,0.0,0.179,0.821,0.1901
29967,29968,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
29968,29969,Now I remember why I hate Southwest airlines.,0.425,0.0,0.575,-0.5719
29969,29970,the allstate band did great saturday!,0.0,0.468,0.532,0.6588
29970,29971,The Honda Accord is a fabulous vehicle.,0.0,0.405,0.595,0.5267
29971,29972,"Oh, and Angelina Jolie is boring.",0.315,0.0,0.685,-0.3182
29972,29973,All san Francisco has are shitty little old apts in this price range...,0.231,0.0,0.769,-0.5574
29973,29974,I LOVE MY TOYOTA COROLLA S! Except...,0.0,0.511,0.489,0.7371
29974,29975,I'm beginning to really distrust Toyota dealerships.,0.34,0.0,0.66,-0.4754
29975,29976,That's why I most love the Harvard story:,0.0,0.428,0.572,0.6697
29976,29977,"Stupid UCLA, deserves a good poking..",0.366,0.312,0.323,-0.128
29977,29978,Cs: I've heard San Francisco is beautiful..,0.0,0.0,1.0,0.0
29978,29979,PARIS HILTON SUCKS!,0.583,0.0,0.417,-0.4199
29979,29980,Harvard sucks.,0.714,0.0,0.286,-0.3612
29980,29981,"I like being at Purdue, not with my family.",0.0,0.263,0.737,0.3612
29981,29982,"I really, really hate TOM CRUISE.",0.516,0.0,0.484,-0.6453
29982,29983,TAKE THAT STUPID UCLA!!!!!!!..,0.604,0.0,0.396,-0.6776
29983,29984,"i look across my beautiful boston, and something inside me is taken aback, struck with such force that i lose my breathe for a second...",0.17,0.141,0.688,0.0516
29984,29985,I love you CITI take me back!,0.0,0.473,0.527,0.6696
29985,29986,Seattle sucks!!,0.755,0.0,0.245,-0.4738
29986,29987,I love my MacBook Pro.,0.0,0.583,0.417,0.6369
29987,29988,we have a boring as shit blue 2005 toyota carolla.,0.457,0.0,0.543,-0.7096
29988,29989,San Francisco is a really boring place..,0.341,0.0,0.659,-0.3804
29989,29990,"I freakin ', freakin'hate UCLA.",0.0,0.0,1.0,0.0
29990,29991,"As the lightening strook and the thunder rolled in the late evening, I drove me and my two buddies, James and Kelly, in my beautiful toyota landcruiser off into the mountains of summerland.",0.0,0.112,0.888,0.5994
29991,29992,I love Tom Cruise!,0.0,0.692,0.308,0.6696
29992,29993,LOVE STORY IN HARVARD 23.5 % vs Pinoy Dream Academy 14.6 % ( at nanatiling bangungot! ).,0.0,0.376,0.624,0.8034
29993,29994,"I'm so glad I love Paris Hilton, too, or this would be excruciating.",0.204,0.369,0.427,0.5379
29994,29995,"The citizens and government of San Francisco are still stupid, but at least they can legally defend themselves...",0.111,0.081,0.808,-0.1531
29995,29996,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
29996,29997,or any other I hate Shanghai food....,0.425,0.0,0.575,-0.5719
29997,29998,I love the Los Angeles Lakers...,0.0,0.512,0.488,0.6369
29998,29999,i hate the lakers..,0.649,0.0,0.351,-0.5719
29999,30000,"Wow, having XP on my MacBook would be awesome...",0.0,0.505,0.495,0.7983
30000,30001,"boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.",0.089,0.142,0.769,0.2724
30001,30002,"I love London and its history-even if I'm glad I didn't have to live through most of it, like the big fire and the Blitz.....",0.077,0.318,0.606,0.8207
30002,30003,I hated all the Toyota commercials.,0.512,0.0,0.488,-0.6369
30003,30004,"I know O'Hare is a big airport but seriously, it sounds that American airlines are pretty useless at organising things.",0.23,0.172,0.599,-0.1154
30004,30005,well Seattle lost that sucks i was really hopin they win.,0.283,0.363,0.354,0.3321
30005,30006,"If my beloved Boston Red Sox are able to sign Matsuzaka into playing for them, it won't be long before overzealous and overemphasized mock-japanese screams of "" MATSUZAKA!!!",0.068,0.186,0.746,0.5826
30006,30007,seattle sucks!!!...,0.0,0.0,1.0,0.0
30007,30008,i love my honda...,0.0,0.677,0.323,0.6369
30008,30009,"UCLA is beautiful because it's so hilly, but I don't think I'll be going back to my dorm for anything trivial hahah...",0.051,0.108,0.841,0.3182
30009,30010,"I love Angelina Jolie and if this wasn't only for guys, she'd be on this list too....",0.0,0.219,0.781,0.6369
30010,30011,PURDUE FUCKIN ROCKS!!!,0.0,0.0,1.0,0.0
30011,30012,i really like american airlines now since they show more than just stupid trivia...,0.21,0.16,0.63,-0.2193
30012,30013,Now I'm walking around looking like the ugliest person in the world angelina jolie!!!!!!!,0.255,0.128,0.616,-0.5374
30013,30014,stupid lakers....,0.773,0.0,0.227,-0.5267
30014,30015,GEICO is a GREAT ride.,0.0,0.617,0.383,0.7034
30015,30016,I watch the Simple Life even though I hate Paris Hilton and / or Nicole Richie..,0.236,0.0,0.764,-0.5719
30016,30017,Cs: I've heard San Francisco is beautiful..,0.0,0.0,1.0,0.0
30017,30018,"I definitely slept in my coat, but I slept really comfortably, because I had my awesome purdue blanket my mommy made me, and my own pillow.....",0.0,0.368,0.632,0.9125
30018,30019,"I'm so glad I love Paris Hilton, too, or this would be excruciating.",0.204,0.369,0.427,0.5379
30019,30020,I hate Paris Hilton.,0.649,0.0,0.351,-0.5719
30020,30021,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",0.0,0.208,0.792,0.6659
30021,30022,"San Francisco was brilliant, Sausalito...",0.0,0.487,0.513,0.5859
30022,30023,i might want a honda..,0.0,0.394,0.606,0.0772
30023,30024,I hate Paris Hilton.,0.649,0.0,0.351,-0.5719
30024,30025,I LOVE MY TOYOTA COROLLA S! Except...,0.0,0.511,0.489,0.7371
30025,30026,I LOVE Seattle!!,0.0,0.847,0.153,0.7592
30026,30027,"i'd love to see the clips and lakers in the second round, though the winner would just be a stepping stone for the mavs or spurs...",0.0,0.258,0.742,0.8402
30027,30028,"i look across my beautiful boston, and something inside me is taken aback, struck with such force that i lose my breathe for a second...",0.17,0.141,0.688,0.0516
30028,30029,"The Hu administration have been engaged in a power struggle with the Shanghai gang since then, and the arrest of Chen Liangyu in Shanghai more or less indicates that they've finally succeeded...",0.133,0.076,0.791,-0.25
30029,30030,"I also love the new rabbits, I still want an x-terra-but Luke's will do, and I kinda like Honda Elements, but they got a bad safety rating: (..",0.145,0.276,0.579,0.319
30030,30031,"Man, do I love Honda.",0.0,0.583,0.417,0.6369
30031,30032,"but the fact that it's in Boston kind of kills it, because Boston basically sucks....",0.27,0.0,0.73,-0.7343
30032,30033,I HATE LONDON!..,0.8,0.0,0.2,-0.6114
30033,30034,"Honda is excellent,'94 and up.",0.0,0.0,1.0,0.0
30034,30035,"And I'm not talking about the attractive ones, no, no. I'm talking about the ones I don't like ( like Tom Cruise ).",0.313,0.105,0.581,-0.5747
30035,30036,We all know that we love Paris Hilton...,0.0,0.375,0.625,0.6369
30036,30037,houston rockets suck ass.,0.762,0.0,0.238,-0.7506
30037,30038,= D i love Tom Cruise!!!,0.0,0.717,0.283,0.7249
30038,30039,"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park.",0.064,0.052,0.884,-0.1027
30039,30040,"Stupid UCLA, deserves a good poking..",0.366,0.312,0.323,-0.128
30040,30041,I hated Boston.,0.808,0.0,0.192,-0.6369
30041,30042,Seattle sucks......,0.0,0.0,1.0,0.0
30042,30043,San Francisco would be good.,0.0,0.42,0.58,0.4404
30043,30044,The main reason why I wanted to buy batteries was because I needed AAA for my small massager ( no it is not a sexual toy!,0.106,0.0,0.894,-0.3595
30044,30045,actually the only thing that i really like about purdue is my apartment....,0.0,0.202,0.798,0.4201
30045,30046,BOSTON SUCKS!!!,0.771,0.0,0.229,-0.5229
30046,30047,I hate Tom Cruise..,0.649,0.0,0.351,-0.5719
30047,30048,I hate the Lakers...,0.649,0.0,0.351,-0.5719
30048,30049,"I'm so glad I love Paris Hilton, too, or this would be excruciating.",0.204,0.369,0.427,0.5379
30049,30050,"I miss Boston so much it hurts sometimes, but I know that I'm really just missing this time of my life and the people from it...",0.242,0.0,0.758,-0.6907
30050,30051,"I was thinking, Allstate is getting boring My dreams of becoming a master chef or an artist or writer are taking over oh this life..",0.088,0.104,0.808,0.1027
30051,30052,Love Story At Harvard [ awesome drama!,0.0,0.682,0.318,0.8622
30052,30053,i love ucla!..,0.0,0.818,0.182,0.6696
30053,30054,I'd love a Toyota van..,0.0,0.583,0.417,0.6369
30054,30055,i bet i am the first person ever to comment on your site from london-stinking-england!,0.0,0.0,1.0,0.0
30055,30056,I love the Los Angeles LAKERS!!!.,0.0,0.559,0.441,0.7249
30056,30057,I love AAA.,0.0,0.808,0.192,0.6369
30057,30058,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
30058,30059,"aaa can't post pic again, sucks i guess have to sent your guys to view my yahoo photo le..",0.128,0.0,0.872,-0.3612
30059,30060,"Angelina Jolie says that being self-destructive is selfish and you ought to think of the poor, starving, mutilated people all around the world.",0.31,0.0,0.69,-0.8402
30060,30061,"San Francisco state kinda sucks, just like city, but its an upgrade.",0.121,0.122,0.756,0.0038
30061,30062,talked to the bus driver it was a black toyota hylander which sucks cause no cars that match that description are registered with the school...,0.176,0.0,0.824,-0.5719
30062,30063,""" Every time we're in a headline, it's like, Tom Cruise and then us in a headline, you start to get that Tom Cruise stink on you.",0.099,0.092,0.809,-0.0516
30063,30064,i do i love angelina jolie!..,0.0,0.6,0.4,0.6696
30064,30065,This superb View London Christmas gift basket is...,0.0,0.538,0.462,0.7906
30065,30066,"I like Tom Cruise, as I've stated over and over.",0.0,0.238,0.762,0.3612
30066,30067,"Set in London's delightful canal district Little Venice, The Colonnade Hotel is.....",0.0,0.257,0.743,0.5859
30067,30068,"I haven't totally decided what we'll do, but I'm figuring a day at the beach in Santa Cruz and a day in San Francisco should be a good start.",0.0,0.138,0.862,0.5927
30068,30069,My beautiful little Hyundai.,0.0,0.565,0.435,0.5994
30069,30070,"Glen Perkins pitched just well enough to be 1-10 or something like that in AA ball, but was elected to the AA all-star game, and in a few starts at AAA looked amazing.",0.0,0.227,0.773,0.8176
30070,30071,I hate the exodus of subarus and honda crv's and volvos.,0.291,0.0,0.709,-0.5719
30071,30072,I miss London...,0.615,0.0,0.385,-0.1531
30072,30073,well i'm gonna go enjoy being in seattle.....,0.0,0.469,0.531,0.6486
30073,30074,"seattle, you suck...",0.0,0.0,1.0,0.0
30074,30075,for as long as I can remember I've wanted Honda....,0.0,0.0,1.0,0.0
30075,30076,"Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way.",0.123,0.044,0.833,-0.4588
30076,30077,I love Boston too!,0.0,0.692,0.308,0.6696
30077,30078,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
30078,30079,london sucks....,0.0,0.0,1.0,0.0
30079,30080,I loved Boston and MIT so much and still do.,0.0,0.328,0.672,0.5994
30080,30081,"The citizens and government of San Francisco are still stupid, but at least they can legally defend themselves...",0.111,0.081,0.808,-0.1531
30081,30082,cause obviously toyota dealer is cheating on my feelings..,0.31,0.0,0.69,-0.5574
30082,30083,"As i stepped out of my beautiful Toyota, i heard a scream as a gust of wind had just passed.",0.131,0.189,0.68,0.296
30083,30084,des mit Susi sucks..,0.0,0.0,1.0,0.0
30084,30085,PURDUE ROCKS!!,0.0,0.0,1.0,0.0
30085,30086,I love San Francisco..,0.0,0.677,0.323,0.6369
30086,30087,"In what should be an incredibly badly played game by two sucky ass teams, Purdue will probably suck it up big time tonight and get crushed by the Hurryin'Losers.",0.376,0.065,0.559,-0.9155
30087,30088,"I love paris hilton, britney spears and jessica simpson.",0.0,0.375,0.625,0.6369
30088,30089,"lost a friend recently, Chris Handy, it isnt going to be the same without seeing him tooling around clinton in crappy Honda, with a header..(",0.203,0.11,0.687,-0.4019
30089,30090,"also, san francisco is awesome and you would have a lot of fun there...",0.0,0.402,0.598,0.8126
30090,30091,hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..,0.187,0.487,0.326,0.811
30091,30092,PARIS HILTON SUCKS!,0.583,0.0,0.417,-0.4199
30092,30093,"Traffic in Seattle does stink, but it's a beautiful city to be stuck in.",0.221,0.272,0.508,0.4588
30093,30094,get to mit dem.. frustrated cos he's such an arse..,0.274,0.0,0.726,-0.5267
30094,30095,"On a lighter note, I love my macbook.",0.0,0.457,0.543,0.6369
30095,30096,"Honda is excellent,'94 and up.",0.0,0.0,1.0,0.0
30096,30097,We got there slightly late because San Francisco is a horrible place to drive a car.,0.212,0.0,0.788,-0.5423
30097,30098,I would like to go ahead and state that I like Tom Cruise.,0.0,0.357,0.643,0.6124
30098,30099,i HATED the harvard campus!,0.635,0.0,0.365,-0.7371
30099,30100,Boston can suck my fucking tits...,0.367,0.0,0.633,-0.4404
30100,30101,harvard is for dumb people.,0.452,0.0,0.548,-0.5106
30101,30102,"I'm not crazy about HK either, but Shanghai is sounding awesome.",0.0,0.443,0.557,0.8002
30102,30103,As much as I hate Tom Cruise..,0.425,0.0,0.575,-0.5719
30103,30104,Â  I love purdue.,0.0,0.677,0.323,0.6369
30104,30105,"n metti wa gor wait me end up the ce,. then we hv dinner ga..... i love u galz say "" wait me "" aaa.",0.0,0.181,0.819,0.6369
30105,30106,"Yesterday, I thought I really found a great site about allstate insurance ft walton beach florida, but that was just the teaser.",0.113,0.121,0.766,0.0488
30106,30107,"I also love the new rabbits, I still want an x-terra-but Luke's will do, and I kinda like Honda Elements, but they got a bad safety rating: (..",0.145,0.276,0.579,0.319
30107,30108,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
30108,30109,the mastercard logo is ugly....,0.0,0.0,1.0,0.0
30109,30110,i bet i am the first person ever to comment on your site from london-stinking-england!,0.0,0.0,1.0,0.0
30110,30111,and honda elements are assholes...,0.0,0.0,1.0,0.0
30111,30112,the dallas mavericks suck.,0.492,0.0,0.508,-0.4404
30112,30113,"After that stretch though, it was OK. The walk from Porter to Harvard was beautiful.",0.0,0.345,0.655,0.7804
30113,30114,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
30114,30115,I loved Boston and MIT so much and still do.,0.0,0.328,0.672,0.5994
30115,30116,Stupid UCLA....,0.773,0.0,0.227,-0.5267
30116,30117,"I'm so glad I love Paris Hilton, too, or this would be excruciating.",0.204,0.369,0.427,0.5379
30117,30118,This superb View London Christmas gift basket is...,0.0,0.538,0.462,0.7906
30118,30119,Crappy connection to Shanghai......,0.545,0.0,0.455,-0.5574
30119,30120,"I despise President George W Bush, and Very often make fun of him..",0.16,0.238,0.601,0.2878
30120,30121,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",0.0,0.208,0.792,0.6659
30121,30122,I know you're way too smart and way too cool to let stupid UCLA get to you...,0.159,0.234,0.607,0.1531
30122,30123,"a 2001 Honda Accord 4-door LX in good condition, a 2000 Ford Explorer in excellent condition, and a 1999 Volkswagen Jetta in good condition.",0.0,0.345,0.655,0.8591
30123,30124,I hate Paris Hilton..,0.649,0.0,0.351,-0.5719
30124,30125,Now I can totally rub it in my dad's face that Seattle sucks more than Pittsburgh does.,0.143,0.0,0.857,-0.3612
30125,30126,I LOVE MY TOYOTA COROLLA S! Except...,0.0,0.511,0.489,0.7371
30126,30127,Cs: I've heard San Francisco is beautiful..,0.0,0.0,1.0,0.0
30127,30128,Claudette and Me in the same clothes I'd had on for 2 days thanks to United Airlines-and that stupid frigging beard affair on my chin.,0.113,0.189,0.698,0.3182
30128,30129,LOVE STORY IN HARVARD 23.5 % vs Pinoy Dream Academy 14.6 % ( at nanatiling bangungot! ).,0.0,0.376,0.624,0.8034
30129,30130,Seattle sucks......,0.0,0.0,1.0,0.0
30130,30131,"I'm bitter but not angry I just don't have a good team to root for, I loved the lakers before kobe ruined it since it revolves around him...",0.241,0.234,0.525,0.1887
30131,30132,"I'm not crazy about HK either, but Shanghai is sounding awesome.",0.0,0.443,0.557,0.8002
30132,30133,The seattle scene is pretty amazing too....,0.0,0.583,0.417,0.7906
30133,30134,Funny that harvard was almost more stressful than MY AUDITION!,0.249,0.2,0.551,-0.1795
30134,30135,I hate Tom Cruise..,0.649,0.0,0.351,-0.5719
30135,30136,PURDUE FUCKIN ROCKS!!!,0.0,0.0,1.0,0.0
30136,30137,I hate Seattle..,0.787,0.0,0.213,-0.5719
30137,30138,"I'm so glad I love Paris Hilton, too, or this would be excruciating.",0.204,0.369,0.427,0.5379
30138,30139,seattle sucks!!!...,0.0,0.0,1.0,0.0
30139,30140,"Apparently, MIT and Olin are awesome.",0.0,0.451,0.549,0.6249
30140,30141,"I am so thankful that even though my Lakers suck, I can flip on the game and marvel at Kobe.",0.117,0.275,0.607,0.5984
30141,30142,boston this weekend was great..,0.0,0.0,1.0,0.0
30142,30143,i do i love angelina jolie!..,0.0,0.6,0.4,0.6696
30143,30144,""" I think Hillary Clinton is fantastic.",0.0,0.474,0.526,0.5574
30144,30145,"Geico would be great, and I really hope that works out.",0.0,0.477,0.523,0.807
30145,30146,Boston can suck my fucking tits...,0.367,0.0,0.633,-0.4404
30146,30147,I loved Boston and MIT so much and still do.,0.0,0.328,0.672,0.5994
30147,30148,i love you honda thanks for everything..,0.0,0.64,0.36,0.7964
30148,30149,Then we had stupid trivia about San Francisco and sci fi tv so we left...,0.195,0.0,0.805,-0.5267
30149,30150,Love your Seattle pics..,0.0,0.583,0.417,0.6369
30150,30151,"Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way.",0.123,0.044,0.833,-0.4588
30151,30152,i love you mit mat...,0.0,0.583,0.417,0.6369
30152,30153,Tom Cruise needs to suck it up and so does Scientology in general.,0.195,0.0,0.805,-0.4404
30153,30154,The seattle scene is pretty amazing too....,0.0,0.583,0.417,0.7906
30154,30155,We hate Tom Cruise.,0.552,0.0,0.448,-0.5719
30155,30156,"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it.",0.0,0.356,0.644,0.8519
30156,30157,I love the Los Angeles LAKERS!!!.,0.0,0.559,0.441,0.7249
30157,30158,"And as stupid as San Francisco's road system is, we weren't able to turn back because of how all the roads are one-way streets.",0.129,0.0,0.871,-0.5267
30158,30159,I think at this moment i love San Francisco better than L. A..,0.0,0.441,0.559,0.7964
30159,30160,MIT's Naxos Music Library subscription is AWESOME..,0.0,0.0,1.0,0.0
30160,30161,I liked Tom Cruise until he dumped Nicole Kidman.,0.235,0.243,0.522,0.0258
30161,30162,I love Harvard guys...,0.0,0.677,0.323,0.6369
30162,30163,"i love ucla campus, is so clean and new!",0.0,0.571,0.429,0.8395
30163,30164,"i love Kappo Honda, which is across the street..",0.0,0.375,0.625,0.6369
30164,30165,Toyota is doing some amazing things with fuel economy.,0.0,0.322,0.678,0.5859
30165,30166,"Dont get my wrong, I like Hillary Clinton, I think he is a brilliant politician who has certainly been overshadowed by her husband.",0.112,0.313,0.576,0.6808
30166,30167,purdue sucks!!!,0.771,0.0,0.229,-0.5229
30167,30168,Tom Cruise sucks.,0.556,0.0,0.444,-0.3612
30168,30169,stupid lakers!!!!!!!!!!!,0.82,0.0,0.18,-0.6776
30169,30170,I hate the Dallas Mavericks.,0.552,0.0,0.448,-0.5719
30170,30171,i hate the lakers..,0.649,0.0,0.351,-0.5719
30171,30172,The Honda is awesome.,0.0,0.577,0.423,0.6249
30172,30173,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
30173,30174,"i look across my beautiful boston, and something inside me is taken aback, struck with such force that i lose my breathe for a second...",0.17,0.141,0.688,0.0516
30174,30175,And Tom Cruise is beautiful....,0.0,0.0,1.0,0.0
30175,30176,BOSTON SUCKS!!,0.755,0.0,0.245,-0.4738
30176,30177,I love Tom Cruise.,0.0,0.677,0.323,0.6369
30177,30178,= D i love Tom Cruise!!!,0.0,0.717,0.283,0.7249
30178,30179,I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.,0.0,0.119,0.881,0.5994
30179,30180,miss you aaa ~..,0.348,0.0,0.652,-0.1531
30180,30181,"Since then, 25 automakers including Toyota Motor Corp. and Honda Motor Co. have recalled about 370,000 defective vehicles, according to the agency.",0.121,0.0,0.879,-0.4404
30181,30182,"v. s. what should be a AAA team right now 10 % of this weekend has been so awesome,.. that I dont even mind working the other 102 % of it.....",0.0,0.0,1.0,0.0
30182,30183,stupid lakers should have beat suns.....,0.405,0.0,0.595,-0.5267
30183,30184,"With that said god i cant wait to go there, seattle is awesome.",0.0,0.383,0.617,0.7351
30184,30185,"The citizens and government of San Francisco are still stupid, but at least they can legally defend themselves...",0.111,0.081,0.808,-0.1531
30185,30186,tapos meron pang girl na matanda na ata un.. nag slide pa xa dun..,0.161,0.0,0.839,-0.3612
30186,30187,well i'm gonna go enjoy being in seattle.....,0.0,0.469,0.531,0.6486
30187,30188,I like Purdue University's computer lab!..,0.0,0.411,0.589,0.4199
30188,30189,"Today, I remembered how particularly sad it is that the details of Angelina Jolie's pregnancy, or Jennifer Aniston's latest living arrangement must be screamed out at hapless grocery shoppers the world over.",0.224,0.0,0.776,-0.796
30189,30190,I'd love to give the finger to Providian and Capital One...,0.0,0.296,0.704,0.6369
30190,30191,and i blame angelina jolie!,0.473,0.0,0.527,-0.4003
30191,30192,i hate the lakers..,0.649,0.0,0.351,-0.5719
30192,30193,That's why I most love the Harvard story:,0.0,0.428,0.572,0.6697
30193,30194,"As much as I love the Lakers and Kobe, I still have to state the facts...",0.0,0.244,0.756,0.6369
30194,30195,"I mean, we knew Harvard was dumb anyway -- right, B-girls? -- but this is further proof)...",0.125,0.0,0.875,-0.2846
30195,30196,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.,0.358,0.0,0.642,-0.7717
30196,30197,i wouldnt really recommend uk anymore i hate london.,0.547,0.0,0.453,-0.7207
30197,30198,I LOVE Seattle!!,0.0,0.847,0.153,0.7592
30198,30199,I like Purdue University's computer lab!..,0.0,0.411,0.589,0.4199
